ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
381,9/2020,9,2,11,61,14421.1,274850,14371.182,272300,611,3765700,49.918
381,10/2020,10,2,17,81,14765,280400,14387.168,272400,418.5,3677400,377.832
381,11/2020,11,2,17,83,12293,247100,11159.029,221400,401.5,2970000,1133.971
381,12/2020,12,2,17,83,15025.9,297350,15569.801,308000,578.5,4219500,-543.901
381,1/2021,1,3,17,83,12422.3,244150,12341.42,241850,588,3246600,80.88
381,2/2021,2,3,7,38,13895.9,266559,14602.221,280300,566,3797100,-706.321
381,3/2021,3,3,11,62,15876.5,299718,16113.96,304000,359,4161550,-237.46
381,4/2021,4,3,11,61,15600.5,290482,15054.448,279800,528,3965650,546.052
381,5/2021,5,3,17,82,13053.6,248099,8785.45,166400,270,2341250,4268.15
381,6/2021,6,3,11,61,13728.5,269832,16398.42,317700,514,4669650,-2669.92
381,7/2021,7,3,6,19,16932,331061,16822.33,330700,623.5,4762400,109.67
381,8/2021,8,3,17,81,16799.5,320158,10205.61,197900,458.6,2829420,6593.89
381,9/2021,9,3,17,81,22140.8,411410,24574.89,458700,546.5,6186150,-2434.09
381,10/2021,10,3,17,83,15726.9,288958,7617.085,141400,259,1986700,8109.815
381,11/2021,11,3,17,81,15832.5,294425,16482.16,303600,494.1,4317100,-649.66
381,12/2021,12,3,1,8,20318.1,385241,19655.11,372800,549.5,5413850,662.99
381,1/2022,1,4,17,83,10535.9,203202,7391.99,144400,300,2080300,3143.91
381,2/2022,2,4,17,81,11126.8,212750,9154.98,176300,374.5,2510550,1971.82
381,3/2022,3,4,17,83,6855.5,132050,4585.68,88000,162,1295500,2269.82
381,4/2019,4,1,17,81,11981.6,235500,11700.05,229900,406,2822200,281.55
381,4/2022,4,4,11,62,5177.6,100250,11378.19,216100,394.1,3130460,-6200.59
381,5/2022,5,4,17,82,4974.7,101800,12596.524,247000,551.25,3584000,-7621.824
381,6/2022,6,4,6,15,7076.4,138200,5474.814,105700,302,1511400,1601.586
381,7/2022,7,4,11,62,4789.5,93400,8457.52,162400,398,2368100,-3668.02
381,8/2022,8,4,1,5,8165.6,159400,3811.89,74000,244.5,1066500,4353.71
381,9/2022,9,4,17,83,9406.9,184950,4596.973,89700,149.5,1223700,4809.927
381,10/2022,10,4,17,81,722.4,14550,2835.53,55800,82,755800,-2113.13
381,11/2022,11,4,4,11,5636.3,112850,3103.817,60700,200.9,811680,2532.483
381,12/2022,12,4,6,15,6392.6,127050,2304.19,45600,201,574620,4088.41
381,1/2023,1,5,7,38,4929.9,96000,4862.577,94901,164.5,1189251,67.323
381,5/2019,5,1,17,81,20617,402050,18910.45,370300,786,4492200,1706.55
381,2/2023,2,5,17,82,3329.2,63950,7583.464,147500,257.1,1871050,-4254.264
381,3/2023,3,5,17,82,1935.2,36600,5289.564,101000,204,1290500,-3354.364
381,6/2019,6,1,17,81,18564.1,368200,19440.36,384200,986.5,4650000,-876.26
381,7/2019,7,1,17,82,22148,438700,15152.105,300400,810,3681100,6995.895
381,8/2019,8,1,17,81,17716.5,343750,15881.765,308100,685.5,3738900,1834.735
381,9/2019,9,1,17,82,13032,253450,9754.798,188800,356.5,2263150,3277.202
382,9/2020,9,2,17,81,2803.3,55086,668.066,13000,51.5,179250,2135.234
382,10/2020,10,2,1,3,5413,107072,5474.646,106900,248.5,1526250,-61.646
382,11/2020,11,2,6,15,473.7,9699,50.37,1000,9,9000,423.33
382,12/2020,12,2,6,15,,,491.74,10000,38,139000,-491.74
382,1/2021,1,3,17,82,,,1006.21,20050,44,300700,-1006.21
382,2/2021,2,3,11,62,,,660.08,13250,30,198750,-660.08
