ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
419,6,6,1,,,75.3,900,,,,
42,12,12,1,,,1461.8,15000,,,,
42,14,2,2,,,470.7,4740,,,,
42,18,6,2,,,1369.7,13950,,,,
42,21,9,2,,,918.5,9030,,,,
42,23,11,2,,,1003.5,10050,,,,
42,26,2,3,,,3018.7,30120,,,,
42,30,6,3,,,1447,14640,,,,
42,33,9,3,,,3379.3,33540,,,,
42,35,11,3,,,51,510,,,,
42,43,7,4,,,1023.42,10140,,,,
42,44,8,4,,,25,240,,,,
42,46,10,4,,,407.9,3900,,,,
42,49,1,5,,,212,2040,,,,
42,5,5,1,,,568.2,5560,,,,
42,50,2,5,,,4822,47100,,,,
421,13,1,2,,,299,3750,,,,
421,21,9,2,,,80,1140,,,,
422,8,8,1,,,245,3000,,,,
424,14,2,2,,,358.6,4200,,,,
426,26,2,3,,,49,630,,,,
427,40,4,4,,,167,2100,,,,
428,14,2,2,,,193.9,2480,,,,
43,12,12,1,,,3378,33000,,,,
43,14,2,2,,,1572.3,15810,,,,
43,18,6,2,,,2288.4,22920,,,,
43,21,9,2,,,2526.1,25290,,,,
43,23,11,2,,,508.2,5100,,,,
43,28,4,3,,,676.5,6750,,,,
43,29,5,3,,,188.8,1920,,,,
43,30,6,3,,,2062.2,20460,,,,
43,32,8,3,,,1824.1,18090,,,,
43,33,9,3,,,43.4,420,,,,
43,37,1,4,,,540.1,5250,,,,
43,40,4,4,,,851.91,8460,,,,
43,43,7,4,,,2640.7,25470,,,,
43,44,8,4,,,3522.1,35010,,,,
43,49,1,5,,,705.9,6960,,,,
43,50,2,5,,,355.4,3570,,,,
43,8,8,1,,,2429.3,24720,,,,
439,20,8,2,,,41,420,,,,
44,21,9,2,,,778,7890,,,,
44,35,11,3,,,1702.5,16800,,,,
446,49,1,5,,,70,600,,,,
