ITEM ID,TIME ID,TIME_M ID,TIME_Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
7,46,10,4,14,74,,,348.62,2850,167,94050
7,47,11,4,14,73,,,337.54,2760,205,93450
7,48,12,4,14,74,,,215.57,1800,100,59850
7,5,5,1,9,54,,,180.4,1500,124,46500
7,50,2,5,6,15,,,397.93,3300,205,110850
7,6,6,1,14,74,,,305,2520,156,78420
7,7,7,1,6,19,,,200.45,1650,154,50700
7,8,8,1,1,4,,,233.2,1950,155,60450
7,9,9,1,14,69,,,308.32,2580,216,79530
70,35,11,3,2,9,,,1364.399,9000,63,283500
70,41,5,4,17,81,,,164,1080,33,35640
70,43,7,4,17,81,,,81.33,540,33,17820
70,9,9,1,2,9,,,1627.26,10800,102,367200
71,14,2,2,1,6,,,1437.75,8250,204,235290
71,17,5,2,1,8,,,114.51,660,32,21120
71,20,8,2,16,79,,,668.46,4290,160,137280
71,24,12,2,1,8,,,56.02,330,32,10560
71,25,1,3,1,8,,,1628.93,10440,150.4,304728
71,26,2,3,1,8,,,439.51,2640,87,76560
71,28,4,3,1,6,,,882.35,5400,56,151200
71,29,5,3,1,6,,,602.21,3960,90,118800
71,39,3,4,9,49,,,990.5,6480,155,198360
71,41,5,4,1,6,,,936.28,6120,92,185040
71,42,6,4,17,82,,,831.1,5400,153,165240
71,43,7,4,1,8,,,221.28,1440,64,46080
71,7,7,1,1,8,,,2148.66,13530,331,409530
72,33,9,3,1,8,,,55.038,300,32,9600
73,10,10,1,2,9,,,539.55,3600,34,122400
73,36,12,3,1,8,,,51.9,360,36,12960
73,37,1,4,17,81,,,17.91,120,32,3840
73,39,3,4,17,81,,,90.74,600,64,19200
73,41,5,4,17,81,,,107.5,720,33,23760
73,43,7,4,17,81,,,51.5,360,33,11880
73,51,3,5,17,81,,,54.5,360,32,11520
73,9,9,1,2,9,,,1613.41,10800,102,367200
74,10,10,1,17,81,,,2139.57,12900,740,477300
74,11,11,1,17,81,,,1598.6,9600,444,355200
